id;depart;type;speedFactor;duration;waitingTime;timeLoss;traveltime;walk_depart;departPos;arrival;arrivalPos;walk_duration;routeLength;walk_timeLoss;maxSpeed;walk_waitingTime
pf_PedEnd.Main.W_end.N_sidewalk__PedEnd.Minor.200.N_end.W_sidewalk__seg1__0.3;2558.00;DEFAULT_PEDTYPE;0.94;316.00;0.00;30.76;316.00;2558.00;0.10;2874.00;177.70;316.00;373.31;30.76;1.31;0.00
pf_PedEnd.Main.E_end.N_sidewalk__PedEnd.Minor.400.N_end.W_sidewalk__seg1__0.0;2442.00;DEFAULT_PEDTYPE;1.01;432.00;3.00;47.54;432.00;2442.00;112.00;2874.00;180.90;432.00;541.67;47.54;1.41;3.00
pf_PedEnd.Main.W_end.N_sidewalk__PedEnd.Minor.200.S_end.E_sidewalk__seg1__0.0;2450.00;DEFAULT_PEDTYPE;0.88;424.00;24.00;63.72;424.00;2450.00;0.10;2874.00;177.70;424.00;439.19;63.72;1.22;24.00
pf_PedEnd.Minor.400.S_end.W_sidewalk__Node.Main.740.S__seg1__0.0;2450.00;DEFAULT_PEDTYPE;1.18;425.00;55.00;95.08;425.00;2450.00;0.10;2875.00;0.10;425.00;539.20;95.08;1.63;55.00
pf_PedEnd.Main.W_end.N_sidewalk__PedEnd.Minor.200.S_end.W_sidewalk__seg1__0.0;2430.00;DEFAULT_PEDTYPE;0.88;445.00;76.00;115.74;445.00;2430.00;0.10;2875.00;0.10;445.00;401.06;115.74;1.22;76.00
pf_PedEnd.Minor.200.N_end.W_sidewalk__Node.Main.0.N__seg1__0.6;2586.00;DEFAULT_PEDTYPE;1.03;292.00;0.00;31.02;292.00;2586.00;177.70;2878.00;0.10;292.00;373.31;31.02;1.43;0.00
pf_PedEnd.Minor.200.N_end.E_sidewalk__Node.Main.0.N__seg1__0.6;2576.00;DEFAULT_PEDTYPE;1.13;303.00;23.00;54.48;303.00;2576.00;0.10;2879.00;0.10;303.00;391.66;54.48;1.58;23.00
pf_PedEnd.Main.W_end.S_sidewalk__PedEnd.Minor.200.S_end.W_sidewalk__seg1__0.1;2551.00;DEFAULT_PEDTYPE;0.91;328.00;0.00;32.00;328.00;2551.00;112.00;2879.00;0.10;328.00;372.92;32.00;1.26;0.00
pf_PedEnd.Minor.540.S_end.E_sidewalk__Node.Main.740.S__seg1__0.7;2575.00;DEFAULT_PEDTYPE;0.98;306.00;0.00;31.54;306.00;2575.00;177.70;2881.00;0.10;306.00;373.31;31.54;1.36;0.00
pf_PedEnd.Main.W_end.S_sidewalk__PedEnd.Minor.200.S_end.W_sidewalk__seg1__0.4;2579.00;DEFAULT_PEDTYPE;0.99;302.00;0.00;30.95;302.00;2579.00;112.00;2881.00;0.10;302.00;372.92;30.95;1.38;0.00
pf_PedEnd.Minor.400.S_end.W_sidewalk__Node.Main.0.S__seg1__0.0;2429.00;DEFAULT_PEDTYPE;1.10;454.00;15.00;65.01;454.00;2429.00;0.10;2883.00;112.00;454.00;596.67;65.01;1.53;15.00
pf_PedEnd.Minor.200.N_end.E_sidewalk__Node.Main.0.N__seg1__0.3;2510.00;DEFAULT_PEDTYPE;1.11;373.00;71.00;118.45;373.00;2510.00;0.10;2883.00;0.10;373.00;391.66;118.45;1.54;71.00
pf_PedEnd.Minor.460.S_end.W_sidewalk__Node.Main.740.S__seg1__0.0;2500.00;DEFAULT_PEDTYPE;1.12;383.00;40.00;76.53;383.00;2500.00;0.10;2883.00;0.10;383.00;475.16;76.53;1.55;40.00
pf_PedEnd.Minor.200.N_end.E_sidewalk__Node.Main.0.N__seg1__0.5;2576.00;DEFAULT_PEDTYPE;1.09;308.00;5.00;50.21;308.00;2576.00;0.10;2884.00;0.10;308.00;391.66;50.21;1.52;5.00
pf_PedEnd.Main.W_end.S_sidewalk__PedEnd.Minor.200.S_end.W_sidewalk__seg1__0.2;2552.00;DEFAULT_PEDTYPE;0.89;334.00;0.00;32.11;334.00;2552.00;112.00;2886.00;0.10;334.00;372.92;32.11;1.24;0.00
pf_PedEnd.Main.E_end.S_sidewalk__PedEnd.Minor.540.S_end.W_sidewalk__seg1__0.0;2482.00;DEFAULT_PEDTYPE;1.00;405.00;90.00;123.85;405.00;2482.00;0.10;2887.00;0.10;405.00;391.66;123.85;1.39;90.00
pf_PedEnd.Minor.540.N_end.E_sidewalk__Node.Main.740.N__seg1__0.9;2609.00;DEFAULT_PEDTYPE;1.11;279.00;0.00;36.67;279.00;2609.00;0.10;2888.00;112.00;279.00;372.92;36.67;1.54;0.00
pf_PedEnd.Main.W_end.N_sidewalk__PedEnd.Minor.280.S_end.E_sidewalk__seg1__0.0;2424.00;DEFAULT_PEDTYPE;1.05;464.00;85.00;126.36;464.00;2424.00;0.10;2888.00;177.70;464.00;490.28;126.36;1.45;85.00
pf_PedEnd.Minor.280.N_end.E_sidewalk__Node.Main.0.N__seg1__0.0;2465.00;DEFAULT_PEDTYPE;1.05;425.00;64.00;100.45;425.00;2465.00;0.10;2890.00;0.10;425.00;475.16;100.45;1.46;64.00
pf_PedEnd.Minor.540.S_end.W_sidewalk__Node.Main.740.S__seg1__0.6;2518.00;DEFAULT_PEDTYPE;1.06;373.00;73.00;106.74;373.00;2518.00;0.10;2891.00;0.10;373.00;391.66;106.74;1.47;73.00
pf_PedEnd.Minor.540.S_end.E_sidewalk__Node.Main.740.S__seg1__0.10;2606.00;DEFAULT_PEDTYPE;1.06;285.00;0.00;30.43;285.00;2606.00;177.70;2891.00;0.10;285.00;373.31;30.43;1.47;0.00
pf_PedEnd.Minor.540.N_end.E_sidewalk__Node.Main.740.N__seg1__0.7;2564.00;DEFAULT_PEDTYPE;0.91;329.00;0.00;33.29;329.00;2564.00;0.10;2893.00;112.00;329.00;372.92;33.29;1.26;0.00
pf_PedEnd.Main.W_end.S_sidewalk__PedEnd.Minor.280.N_end.W_sidewalk__seg1__0.0;2414.00;DEFAULT_PEDTYPE;1.01;479.00;83.00;132.21;479.00;2414.00;112.00;2893.00;180.90;479.00;484.26;132.21;1.40;83.00
pf_PedEnd.Main.W_end.S_sidewalk__PedEnd.Minor.200.S_end.E_sidewalk__seg1__0.1;2577.00;DEFAULT_PEDTYPE;0.99;316.00;0.00;32.13;316.00;2577.00;112.00;2893.00;177.70;316.00;391.66;32.13;1.38;0.00
pf_PedEnd.Minor.540.S_end.W_sidewalk__PedEnd.Minor.340.S_end.E_sidewalk__seg1__0.0;2449.00;DEFAULT_PEDTYPE;1.02;444.00;0.00;48.54;444.00;2449.00;0.10;2893.00;180.90;444.00;561.07;48.54;1.42;0.00
pf_PedEnd.Main.W_end.N_sidewalk__PedEnd.Minor.200.N_end.E_sidewalk__seg1__0.0;2488.00;DEFAULT_PEDTYPE;0.99;405.00;80.00;120.01;405.00;2488.00;0.10;2893.00;0.10;405.00;391.66;120.01;1.37;80.00
pf_PedEnd.Minor.540.N_end.W_sidewalk__Node.Main.740.N__seg1__0.3;2559.00;DEFAULT_PEDTYPE;1.04;335.00;30.00;63.10;335.00;2559.00;177.70;2894.00;112.00;335.00;391.66;63.10;1.44;30.00
pf_PedEnd.Minor.540.N_end.E_sidewalk__Node.Main.740.N__seg1__0.8;2590.00;DEFAULT_PEDTYPE;0.98;304.00;0.00;28.70;304.00;2590.00;0.10;2894.00;112.00;304.00;372.92;28.70;1.35;0.00
pf_PedEnd.Minor.540.N_end.W_sidewalk__Node.Main.740.N__seg1__0.1;2513.00;DEFAULT_PEDTYPE;1.02;381.00;73.00;104.21;381.00;2513.00;177.70;2894.00;112.00;381.00;391.66;104.21;1.41;73.00
pf_PedEnd.Minor.540.N_end.W_sidewalk__Node.Main.740.N__seg1__0.2;2547.00;DEFAULT_PEDTYPE;1.12;348.00;53.00;95.21;348.00;2547.00;177.70;2895.00;112.00;348.00;391.66;95.21;1.55;53.00
pf_PedEnd.Minor.200.S_end.E_sidewalk__Node.Main.0.S__seg1__0.3;2581.00;DEFAULT_PEDTYPE;1.02;315.00;6.00;39.35;315.00;2581.00;177.70;2896.00;112.00;315.00;391.66;39.35;1.42;6.00
