id;depart;departLane;departPos;departSpeed;departDelay;arrival;arrivalLane;arrivalPos;arrivalSpeed;duration;routeLength;waitingTime;waitingCount;stopTime;timeLoss;rerouteNo;devices;vType;speedFactor;vaporized
vf_Node.Minor.460.N_end__Node.Main.740.N__seg0__0.12;1488.00;Edge.Minor.N_arm.SB.460_1;5.10;15.45;0.52;1580.00;Edge.Main.EB.620-740_1;112.00;14.35;92.00;457.07;49.00;1;0.00;60.83;1;tripinfo_vf_Node.Minor.460.N_end__Node.Main.740.N__seg0__0.12 routing_vf_Node.Minor.460.N_end__Node.Main.740.N__seg0__0.12 fcd_vf_Node.Minor.460.N_end__Node.Main.740.N__seg0__0.12;DEFAULT_VEHTYPE;0.93;
vf_Node.Minor.460.S_end__Node.Main.0.S__seg0__0.18;1427.00;Edge.Minor.S_arm.NB.460_1;5.10;17.25;0.30;1581.00;Edge.Main.WB.120-0_1;112.00;16.51;154.00;640.57;99.00;2;0.00;115.73;1;tripinfo_vf_Node.Minor.460.S_end__Node.Main.0.S__seg0__0.18 routing_vf_Node.Minor.460.S_end__Node.Main.0.S__seg0__0.18 fcd_vf_Node.Minor.460.S_end__Node.Main.0.S__seg0__0.18;DEFAULT_VEHTYPE;1.03;
vf_Node.Main.740.S__Node.Main.0.S__seg0__0.249;1463.00;Edge.Main.WB.740-620_1;5.10;17.50;0.41;1581.00;Edge.Main.WB.120-0_2;112.00;16.37;118.00;735.89;63.00;1;0.00;75.22;1;tripinfo_vf_Node.Main.740.S__Node.Main.0.S__seg0__0.249 routing_vf_Node.Main.740.S__Node.Main.0.S__seg0__0.249 fcd_vf_Node.Main.740.S__Node.Main.0.S__seg0__0.249;DEFAULT_VEHTYPE;1.05;
vf_Node.Minor.400.N_end__Node.Main.740.N__seg0__0.14;1506.00;Edge.Minor.N_arm.SB.400_1;5.10;20.44;0.38;1581.00;Edge.Main.EB.620-740_1;112.00;17.31;75.00;520.57;34.00;1;0.00;48.47;1;tripinfo_vf_Node.Minor.400.N_end__Node.Main.740.N__seg0__0.14 routing_vf_Node.Minor.400.N_end__Node.Main.740.N__seg0__0.14 fcd_vf_Node.Minor.400.N_end__Node.Main.740.N__seg0__0.14;DEFAULT_VEHTYPE;1.23;
vf_Node.Minor.200.N_end__Node.Main.740.N__seg0__0.27;1474.00;Edge.Minor.N_arm.SB.200_1;5.10;14.79;0.24;1582.00;Edge.Main.EB.620-740_2;112.00;14.04;108.00;713.62;36.00;1;0.00;58.76;1;tripinfo_vf_Node.Minor.200.N_end__Node.Main.740.N__seg0__0.27 routing_vf_Node.Minor.200.N_end__Node.Main.740.N__seg0__0.27 fcd_vf_Node.Minor.200.N_end__Node.Main.740.N__seg0__0.27;DEFAULT_VEHTYPE;0.90;
vf_Node.Minor.540.S_end__Node.Main.0.S__seg0__0.38;1483.00;Edge.Minor.S_arm.NB.540_1;5.10;15.96;0.26;1582.00;Edge.Main.WB.120-0_3;112.00;15.78;99.00;713.62;31.00;2;0.00;53.31;1;tripinfo_vf_Node.Minor.540.S_end__Node.Main.0.S__seg0__0.38 routing_vf_Node.Minor.540.S_end__Node.Main.0.S__seg0__0.38 fcd_vf_Node.Minor.540.S_end__Node.Main.0.S__seg0__0.38;DEFAULT_VEHTYPE;0.96;
vf_Node.Minor.460.S_end__Node.Main.0.S__seg0__0.20;1493.00;Edge.Minor.S_arm.NB.460_1;5.10;18.36;0.87;1582.00;Edge.Main.WB.120-0_2;112.00;15.73;89.00;640.57;36.00;1;0.00;53.16;1;tripinfo_vf_Node.Minor.460.S_end__Node.Main.0.S__seg0__0.20 routing_vf_Node.Minor.460.S_end__Node.Main.0.S__seg0__0.20 fcd_vf_Node.Minor.460.S_end__Node.Main.0.S__seg0__0.20;DEFAULT_VEHTYPE;1.10;
vf_Node.Main.740.S__Node.Minor.540.S_end__seg0__0.50;1514.00;Edge.Main.WB.740-620_1;5.10;18.47;0.63;1582.00;Edge.Minor.S_arm.SB.540_1;177.70;17.89;68.00;373.44;36.00;1;0.00;46.58;1;tripinfo_vf_Node.Main.740.S__Node.Minor.540.S_end__seg0__0.50 routing_vf_Node.Main.740.S__Node.Minor.540.S_end__seg0__0.50 fcd_vf_Node.Main.740.S__Node.Minor.540.S_end__seg0__0.50;DEFAULT_VEHTYPE;1.11;
vf_Node.Minor.540.S_end__Node.Main.0.S__seg0__0.37;1394.00;Edge.Minor.S_arm.NB.540_1;5.10;17.11;0.04;1583.00;Edge.Main.WB.120-0_1;112.00;16.00;189.00;713.62;124.00;2;0.00;145.80;1;tripinfo_vf_Node.Minor.540.S_end__Node.Main.0.S__seg0__0.37 routing_vf_Node.Minor.540.S_end__Node.Main.0.S__seg0__0.37 fcd_vf_Node.Minor.540.S_end__Node.Main.0.S__seg0__0.37;DEFAULT_VEHTYPE;1.03;
vf_Node.Main.0.N__Node.Minor.200.N_end__seg0__0.41;1504.00;Edge.Main.EB.0-120_1;5.10;20.11;0.99;1583.00;Edge.Minor.N_arm.NB.200_1;177.70;19.10;79.00;373.44;47.00;1;0.00;58.96;1;tripinfo_vf_Node.Main.0.N__Node.Minor.200.N_end__seg0__0.41 routing_vf_Node.Main.0.N__Node.Minor.200.N_end__seg0__0.41 fcd_vf_Node.Main.0.N__Node.Minor.200.N_end__seg0__0.41;DEFAULT_VEHTYPE;1.21;
