id;depart;departLane;departPos;departSpeed;departDelay;arrival;arrivalLane;arrivalPos;arrivalSpeed;duration;routeLength;waitingTime;waitingCount;stopTime;timeLoss;rerouteNo;devices;vType;speedFactor;vaporized
vf_Node.Minor.540.N_end__Node.Minor.540.S_end__0.12;66.00;Edge.Minor.N_arm.SB.540_1;5.10;21.33;0.57;110.00;Edge.Minor.S_arm.SB.540_1;177.70;19.88;44.00;395.01;10.00;1;0.00;25.21;1;tripinfo_vf_Node.Minor.540.N_end__Node.Minor.540.S_end__0.12 routing_vf_Node.Minor.540.N_end__Node.Minor.540.S_end__0.12 fcd_vf_Node.Minor.540.N_end__Node.Minor.540.S_end__0.12;DEFAULT_VEHTYPE;1.28;
vf_Node.Minor.200.S_end__Node.Main.0.S__0.1;74.00;Edge.Minor.S_arm.NB.200_1;5.10;14.52;0.50;110.00;Edge.Main.WB.120-0_1;112.00;13.76;36.00;373.13;0.00;0;0.00;8.97;1;tripinfo_vf_Node.Minor.200.S_end__Node.Main.0.S__0.1 routing_vf_Node.Minor.200.S_end__Node.Main.0.S__0.1 fcd_vf_Node.Minor.200.S_end__Node.Main.0.S__0.1;DEFAULT_VEHTYPE;0.87;
vf_Node.Minor.540.N_end__Node.Minor.540.S_end__0.13;80.00;Edge.Minor.N_arm.SB.540_1;5.10;16.89;0.23;110.00;Edge.Minor.S_arm.SB.540_2;177.70;16.25;30.00;395.01;0.00;0;0.00;5.83;1;tripinfo_vf_Node.Minor.540.N_end__Node.Minor.540.S_end__0.13 routing_vf_Node.Minor.540.N_end__Node.Minor.540.S_end__0.13 fcd_vf_Node.Minor.540.N_end__Node.Minor.540.S_end__0.13;DEFAULT_VEHTYPE;1.01;
vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.15;81.00;Edge.Minor.N_arm.SB.200_1;5.10;16.84;0.11;111.00;Edge.Minor.S_arm.SB.200_2;177.70;16.83;30.00;395.01;0.00;0;0.00;5.67;1;tripinfo_vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.15 routing_vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.15 fcd_vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.15;DEFAULT_VEHTYPE;1.01;
vf_Node.Minor.540.S_end__Node.Minor.540.N_end__0.6;84.00;Edge.Minor.S_arm.NB.540_1;5.10;14.37;0.43;111.00;Edge.Minor.N_arm.NB.540_2;177.70;14.80;27.00;395.01;0.00;0;0.00;1.41;1;tripinfo_vf_Node.Minor.540.S_end__Node.Minor.540.N_end__0.6 routing_vf_Node.Minor.540.S_end__Node.Minor.540.N_end__0.6 fcd_vf_Node.Minor.540.S_end__Node.Minor.540.N_end__0.6;DEFAULT_VEHTYPE;0.95;
vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.12;60.00;Edge.Minor.N_arm.SB.200_1;5.10;12.47;0.08;114.00;Edge.Minor.S_arm.SB.200_1;177.70;11.66;54.00;395.01;12.00;1;0.00;22.66;1;tripinfo_vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.12 routing_vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.12 fcd_vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.12;DEFAULT_VEHTYPE;0.77;
vf_Node.Minor.540.N_end__Node.Minor.540.S_end__0.14;89.00;Edge.Minor.N_arm.SB.540_2;5.10;17.12;0.92;114.00;Edge.Minor.S_arm.SB.540_2;177.70;17.08;25.00;395.01;0.00;0;0.00;1.00;1;tripinfo_vf_Node.Minor.540.N_end__Node.Minor.540.S_end__0.14 routing_vf_Node.Minor.540.N_end__Node.Minor.540.S_end__0.14 fcd_vf_Node.Minor.540.N_end__Node.Minor.540.S_end__0.14;DEFAULT_VEHTYPE;1.03;
vf_Node.Minor.200.S_end__Node.Minor.200.N_end__0.13;90.00;Edge.Minor.S_arm.NB.200_1;5.10;17.09;0.57;114.00;Edge.Minor.N_arm.NB.200_1;177.70;16.68;24.00;395.01;0.00;0;0.00;0.85;1;tripinfo_vf_Node.Minor.200.S_end__Node.Minor.200.N_end__0.13 routing_vf_Node.Minor.200.S_end__Node.Minor.200.N_end__0.13 fcd_vf_Node.Minor.200.S_end__Node.Minor.200.N_end__0.13;DEFAULT_VEHTYPE;1.03;
vf_Node.Minor.200.S_end__Node.Minor.200.N_end__0.14;94.00;Edge.Minor.S_arm.NB.200_2;5.10;19.21;0.03;116.00;Edge.Minor.N_arm.NB.200_2;177.70;19.15;22.00;395.01;0.00;0;0.00;0.84;1;tripinfo_vf_Node.Minor.200.S_end__Node.Minor.200.N_end__0.14 routing_vf_Node.Minor.200.S_end__Node.Minor.200.N_end__0.14 fcd_vf_Node.Minor.200.S_end__Node.Minor.200.N_end__0.14;DEFAULT_VEHTYPE;1.15;
vf_Node.Minor.540.S_end__Node.Minor.460.S_end__0.0;83.00;Edge.Minor.S_arm.NB.540_1;5.10;17.49;0.52;118.00;Edge.Minor.S_arm.SB.460_1;180.90;16.79;35.00;438.31;0.00;0;0.00;7.21;1;tripinfo_vf_Node.Minor.540.S_end__Node.Minor.460.S_end__0.0 routing_vf_Node.Minor.540.S_end__Node.Minor.460.S_end__0.0 fcd_vf_Node.Minor.540.S_end__Node.Minor.460.S_end__0.0;DEFAULT_VEHTYPE;1.05;
vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.16;92.00;Edge.Minor.N_arm.SB.200_1;5.10;15.92;0.87;118.00;Edge.Minor.S_arm.SB.200_1;177.70;15.41;26.00;395.01;0.00;0;0.00;1.07;1;tripinfo_vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.16 routing_vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.16 fcd_vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.16;DEFAULT_VEHTYPE;0.96;
